,C1P1,C1P2,C1P3,C2P1,C2P2,C2P3,C3P1,C3P2,C3P3,Time
210000,0.394204,0.44965900000000003,0.479973,0.17518,0.29375300000000004,0.301313,0.112509,0.130998,0.166724,210.0
211000,0.395293,0.450248,0.48041000000000006,0.17515899999999998,0.29488400000000003,0.302147,0.112474,0.130956,0.166712,211.0
212000,0.396369,0.450829,0.48084099999999996,0.17514000000000002,0.296009,0.30302199999999996,0.11243900000000001,0.130916,0.166699,212.0
213000,0.39743,0.451402,0.481267,0.175121,0.297127,0.303838,0.11240499999999999,0.130876,0.166687,213.0
214000,0.39847899999999997,0.45196800000000004,0.48168599999999995,0.175103,0.298239,0.304709,0.112372,0.13083599999999998,0.166675,214.0
215000,0.399513,0.452525,0.482099,0.175085,0.299344,0.305544,0.11233900000000001,0.130798,0.166664,215.0
216000,0.400535,0.453074,0.48250600000000005,0.175068,0.30044099999999996,0.30637,0.11230699999999999,0.13076,0.166652,216.0
217000,0.401543,0.45361599999999996,0.482907,0.175051,0.301532,0.307236,0.112276,0.130723,0.166641,217.0
218000,0.402539,0.45415,0.483303,0.175035,0.302614,0.308043,0.11224500000000001,0.130687,0.16663,218.0
219000,0.403521,0.45467700000000005,0.48369300000000004,0.175019,0.303689,0.30890300000000004,0.11221500000000001,0.130651,0.16661900000000002,219.0
220000,0.404491,0.455196,0.48407799999999995,0.175004,0.30475599999999997,0.309727,0.11218499999999999,0.130616,0.166608,220.0
