Time	[Ca]	Values[AMPAR_bar]	Values[CaMKII_active_ratio]	Values[CaMKIIp_bar]	Values[CamCaMKII_bar]	Values[CamR_ratio]	Values[Dp_bar]	Values[PKA_bar]	Values[PP1a_bar]	Values[PP2B_bar]
0.194	1.47365e-09	0.296952	0.0685065	0.0173513	0.159725	0.0480992	0.973102	0.01	0.155246	0.00302117
0.195	1.42765e-09	0.296952	0.0685065	0.0173513	0.159725	0.0480992	0.973102	0.01	0.155246	0.00302118
0.196	1.39522e-09	0.296952	0.0685066	0.0173513	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302118
0.197	1.37287e-09	0.296952	0.0685066	0.0173513	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302118
0.198	1.35825e-09	0.296952	0.0685066	0.0173513	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302118
0.199	1.34974e-09	0.296952	0.0685067	0.0173513	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302118
0.2	1.34625e-09	0.296952	0.0685067	0.0173513	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302119
0.201	1.347e-09	0.296952	0.0685067	0.0173513	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302119
0.202	1.35142e-09	0.296952	0.0685067	0.0173512	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302119
0.203	1.35912e-09	0.296952	0.0685067	0.0173512	0.159726	0.0480992	0.973102	0.01	0.155246	0.00302119
0.204	1.36982e-09	0.296952	0.0685067	0.0173512	0.159726	0.0480991	0.973102	0.01	0.155246	0.00302118
0.205	1.38329e-09	0.296952	0.0685067	0.0173512	0.159726	0.0480991	0.973102	0.01	0.155246	0.00302118
0.206	1.39938e-09	0.296952	0.0685067	0.0173512	0.159726	0.0480991	0.973102	0.01	0.155246	0.00302118
0.207	1.41797e-09	0.296952	0.0685067	0.0173512	0.159726	0.048099	0.973102	0.01	0.155246	0.00302118
0.208	1.43897e-09	0.296952	0.0685066	0.0173512	0.159726	0.048099	0.973102	0.01	0.155246	0.00302118
0.209	1.46233e-09	0.296952	0.0685066	0.0173512	0.159726	0.048099	0.973102	0.01	0.155246	0.00302117
0.21	1.48802e-09	0.296952	0.0685066	0.0173512	0.159726	0.0480989	0.973102	0.01	0.155246	0.00302117
0.211	1.516e-09	0.296952	0.0685065	0.0173512	0.159725	0.0480989	0.973102	0.01	0.155246	0.00302117
0.212	1.5463e-09	0.296952	0.0685065	0.0173512	0.159725	0.0480988	0.973102	0.01	0.155246	0.00302116
0.213	1.57893e-09	0.296952	0.0685064	0.0173512	0.159725	0.0480988	0.973102	0.01	0.155246	0.00302116
0.214	1.61394e-09	0.296952	0.0685064	0.0173512	0.159725	0.0480987	0.973102	0.01	0.155246	0.00302115
0.215	1.65141e-09	0.296952	0.0685063	0.0173512	0.159725	0.0480987	0.973102	0.01	0.155246	0.00302115
0.216	1.69146e-09	0.296952	0.0685062	0.0173512	0.159725	0.0480986	0.973102	0.01	0.155246	0.00302114
0.217	1.73421e-09	0.296952	0.0685062	0.0173512	0.159725	0.0480985	0.973102	0.01	0.155246	0.00302114
0.218	1.77988e-09	0.296952	0.0685061	0.0173512	0.159724	0.0480985	0.973102	0.01	0.155246	0.00302113
0.219	1.8287e-09	0.296952	0.068506	0.0173512	0.159724	0.0480984	0.973102	0.01	0.155246	0.00302113
0.22	1.881e-09	0.296952	0.068506	0.0173512	0.159724	0.0480984	0.973102	0.01	0.155246	0.00302112
0.221	1.93719e-09	0.296952	0.0685059	0.0173512	0.159724	0.0480983	0.973102	0.01	0.155246	0.00302112
0.222	1.99785e-09	0.296952	0.0685058	0.0173512	0.159724	0.0480983	0.973102	0.01	0.155246	0.00302111
